Location,Period,Metric,Value
Chicago Downtown,2026-05,Revenue,485000
Chicago Downtown,2026-05,COGS,184300
Chicago Downtown,2026-05,Labor,135800
Chicago Downtown,2026-05,Operating Expenses,58200
Chicago Downtown,2026-05,Net Profit,106700
Austin Domain,2026-05,Revenue,412000
Austin Domain,2026-05,COGS,156560
Austin Domain,2026-05,Labor,115360
Austin Domain,2026-05,Operating Expenses,49440
Austin Domain,2026-05,Net Profit,90640
Miami Brickell,2026-05,Revenue,328000
Miami Brickell,2026-05,COGS,124640
Miami Brickell,2026-05,Labor,91840
Miami Brickell,2026-05,Operating Expenses,39360
Miami Brickell,2026-05,Net Profit,72160
Chicago Downtown,2026-06,Revenue,492000
Chicago Downtown,2026-06,COGS,186960
Chicago Downtown,2026-06,Labor,137760
Chicago Downtown,2026-06,Operating Expenses,59040
Chicago Downtown,2026-06,Net Profit,108240
Austin Domain,2026-06,Revenue,419000
Austin Domain,2026-06,COGS,159220
Austin Domain,2026-06,Labor,117320
Austin Domain,2026-06,Operating Expenses,50280
Austin Domain,2026-06,Net Profit,92180
Miami Brickell,2026-06,Revenue,341000
Miami Brickell,2026-06,COGS,129580
Miami Brickell,2026-06,Labor,95480
Miami Brickell,2026-06,Operating Expenses,40920
Miami Brickell,2026-06,Net Profit,75020
